Year,Country,Medal,Total_Medal
1896,AUS,2,2
1896,AUT,5,5
1896,DEN,6,6
1896,FRA,11,11
1896,GBR,7,7
1896,GER,33,33
1896,GRE,52,52
1896,HUN,6,6
1896,SUI,3,3
1896,USA,20,20
1896,ZZX,6,6
1900,AUS,5,7
1900,AUT,6,11
1900,BEL,39,39
1900,BOH,2,2
1900,CAN,2,2
1900,CUB,2,2
1900,DEN,6,12
1900,ESP,2,2
1900,FRA,185,196
1900,GBR,78,85
1900,GER,40,73
1900,HUN,5,11
1900,IND,2,2
1900,ITA,4,4
1900,NED,20,20
1900,NOR,9,9
1900,SUI,15,18
1900,SWE,1,1
1900,USA,55,75
1900,ZZX,34,40
1904,AUT,1,12
1904,CAN,35,37
1904,CUB,9,11
1904,GBR,2,87
1904,GER,13,86
1904,GRE,2,54
1904,HUN,4,15
1904,SUI,2,20
1904,USA,394,469
1904,ZZX,8,48
1908,ANZ,19,19
1908,AUT,1,13
1908,BEL,31,70
1908,BOH,5,7
1908,CAN,51,88
1908,DEN,15,27
1908,FIN,29,29
1908,FRA,35,231
1908,GBR,347,434
1908,GER,22,108
1908,GRE,3,57
1908,HUN,18,33
1908,ITA,7,11
1908,NED,11,31
1908,NOR,44,53
1908,RSA,2,2
1908,RU1,3,3
1908,SWE,98,99
1908,USA,63,532
1912,ANZ,10,29
1912,AUT,14,27
1912,BEL,19,89
1912,CAN,8,96
1912,DEN,84,111
1912,FIN,67,96
1912,FRA,25,256
1912,GBR,160,594
1912,GER,52,160
1912,GRE,2,59
1912,HUN,30,63
1912,ITA,21,32
1912,NED,22,53
1912,NOR,76,129
1912,RSA,7,9
1912,RU1,14,17
1912,SWE,173,272
1912,USA,101,633
1920,AUS,6,13
1920,BEL,188,277
1920,BRA,7,7
1920,CAN,16,112
1920,DEN,75,186
1920,ESP,24,26
1920,EST,3,3
1920,FIN,49,145
1920,FRA,141,397
1920,GBR,107,701
1920,GRE,5,64
1920,ITA,84,116
1920,JPN,3,3
1920,LUX,1,1
1920,NED,48,101
1920,NOR,141,270
1920,NZL,1,1
1920,RSA,21,30
1920,SUI,29,49
1920,SWE,146,418
1920,TCH,10,10
1920,USA,193,826
1924,ARG,11,11
1924,AUS,10,23
1924,AUT,4,31
1924,BEL,38,315
1924,CAN,20,132
1924,DEN,12,198
1924,EST,6,9
1924,FIN,52,197
1924,FRA,122,519
1924,GBR,66,767
1924,HAI,7,7
1924,HUN,20,83
1924,ITA,51,167
1924,JPN,1,4
1924,NED,26,127
1924,NOR,26,296
1924,NZL,1,2
1924,POL,5,5
1924,POR,3,3
1924,ROU,23,23
1924,RSA,3,33
1924,SUI,65,114
1924,SWE,80,498
1924,TCH,10,20
1924,URU,22,22
1924,USA,198,1024
1924,YUG,2,2
1928,ARG,32,43
1928,AUS,4,27
1928,AUT,4,39
1928,BEL,5,325
1928,CAN,33,174
1928,CHI,1,1
1928,DEN,13,211
1928,EGY,4,4
1928,ESP,3,29
1928,EST,9,18
1928,FIN,25,237
1928,FRA,36,567
1928,GBR,55,847
1928,GER,72,232
1928,HAI,1,8
1928,HUN,20,103
1928,IND,15,17
1928,IRL,1,1
1928,ITA,70,237
1928,JPN,8,12
1928,NED,65,192
1928,NOR,9,322
1928,NZL,1,3
1928,PHI,1,1
1928,POL,18,23
1928,RSA,6,39
1928,SUI,29,152
1928,SWE,36,543
1928,TCH,16,36
1928,URU,22,44
1928,USA,84,1121
1928,YUG,12,14
1932,ARG,4,47
1932,AUS,5,32
1932,AUT,5,50
1932,CAN,38,224
1932,DEN,9,220
1932,ESP,1,30
1932,FIN,29,270
1932,FRA,37,606
1932,GBR,34,882
1932,GER,38,275
1932,HUN,32,135
1932,IND,11,28
1932,IRL,2,3
1932,ITA,77,314
1932,JPN,31,43
1932,LAT,1,1
1932,MEX,2,2
1932,NED,12,204
1932,NZL,2,5
1932,PHI,3,4
1932,POL,19,42
1932,RSA,5,44
1932,SUI,1,165
1932,SWE,31,590
1932,TCH,4,41
1932,URU,1,45
1932,USA,181,1316
1936,ARG,11,58
1936,AUS,1,33
1936,AUT,50,102
1936,BEL,12,338
1936,CAN,22,266
1936,DEN,6,226
1936,EGY,5,9
1936,EST,7,25
1936,FIN,26,299
1936,FRA,43,651
1936,GBR,36,918
1936,GER,210,506
1936,HUN,42,179
1936,IND,19,47
1936,ITA,71,385
1936,JPN,21,64
1936,LAT,2,3
1936,MEX,16,18
1936,NED,37,241
1936,NOR,28,375
1936,NZL,1,6
1936,PHI,1,5
1936,POL,9,51
1936,POR,3,6
1936,ROU,2,25
1936,RSA,1,45
1936,SUI,47,220
1936,SWE,34,627
1936,TCH,17,58
1936,TUR,2,2
1936,USA,92,1453
1936,YUG,1,15
1948,ARG,12,70
1948,AUS,16,49
1948,AUT,4,111
1948,BEL,14,352
1948,BRA,12,19
1948,CAN,6,285
1948,CUB,2,13
1948,DEN,49,275
1948,EGY,5,14
1948,ESP,3,33
1948,FIN,29,337
1948,FRA,68,720
1948,GBR,56,991
1948,HUN,60,241
1948,IND,20,67
1948,IRI,1,1
1948,ITA,63,448
1948,JAM,3,3
1948,KOR,2,2
1948,MEX,9,27
1948,NED,42,283
1948,NOR,18,411
1948,PAN,2,2
1948,PER,1,1
1948,POL,1,52
1948,POR,5,11
1948,PUR,1,1
1948,RSA,4,49
1948,SRI,1,1
1948,SUI,32,262
1948,SWE,73,710
1948,TCH,20,78
1948,TRI,1,1
1948,TUR,12,14
1948,URU,3,48
1948,USA,148,1617
1948,YUG,16,31
1952,ARG,6,76
1952,AUS,20,69
1952,AUT,3,122
1952,BEL,7,365
1952,BRA,3,22
1952,BUL,1,1
1952,CAN,4,309
1952,CHI,4,5
1952,DEN,9,284
1952,EGY,1,15
1952,ESP,1,34
1952,FIN,40,386
1952,FRA,39,764
1952,GBR,31,1024
1952,GER,40,553
1952,HUN,101,344
1952,IND,15,82
1952,IRI,7,8
1952,IRL,1,4
1952,ITA,53,502
1952,JAM,8,11
1952,JPN,12,76
1952,KOR,2,4
1952,LIB,2,2
1952,LUX,1,2
1952,MEX,1,28
1952,NED,18,301
1952,NOR,13,437
1952,NZL,3,9
1952,POL,4,56
1952,POR,2,13
1952,ROU,4,29
1952,RSA,14,63
1952,SUI,33,323
1952,SWE,70,793
1952,TCH,25,120
1952,TRI,2,3
1952,TUR,3,17
1952,URS,117,117
1952,URU,14,62
1952,USA,130,1763
1952,VEN,1,1
1952,YUG,24,55
1956,ARG,2,78
1956,AUS,61,130
1956,AUT,4,134
1956,BAH,2,2
1956,BEL,2,367
1956,BRA,1,23
1956,BUL,18,19
1956,CAN,19,345
1956,CHI,4,9
1956,DEN,7,291
1956,EUA,57,57
1956,FIN,26,424
1956,FRA,32,797
1956,GBR,45,1070
1956,GRE,1,65
1956,HUN,64,410
1956,IND,17,99
1956,IRI,5,13
1956,IRL,5,9
1956,ISL,1,1
1956,ITA,46,550
1956,JPN,24,100
1956,KOR,2,6
1956,MEX,2,30
1956,NOR,3,459
1956,NZL,3,12
1956,PAK,14,14
1956,POL,19,75
1956,ROU,19,48
1956,RSA,7,70
1956,SUI,3,332
1956,SWE,34,850
1956,TCH,7,127
1956,TUR,7,24
1956,URS,169,286
1956,URU,12,74
1956,USA,118,1911
1956,YUG,23,78
1960,ARG,4,82
1960,AUS,36,166
1960,AUT,3,149
1960,BEL,4,371
1960,BRA,13,36
1960,BUL,7,26
1960,BWI,5,5
1960,CAN,9,374
1960,DEN,23,314
1960,EGY,2,17
1960,ESP,14,48
1960,ETH,1,1
1960,EUA,88,147
1960,FIN,6,442
1960,FRA,11,808
1960,GBR,28,1098
1960,GHA,1,1
1960,GRE,3,68
1960,HUN,65,477
1960,IND,13,112
1960,IRI,4,17
1960,IRQ,1,1
1960,ITA,88,646
1960,JPN,29,130
1960,MAR,1,1
1960,MEX,1,31
1960,NED,3,307
1960,NOR,2,465
1960,NZL,3,15
1960,PAK,14,28
1960,POL,30,106
1960,POR,2,15
1960,ROU,15,63
1960,RSA,3,73
1960,SIN,1,1
1960,SUI,11,353
1960,SWE,7,872
1960,TCH,22,149
1960,TPE,1,1
1960,TUR,9,33
1960,URS,169,492
1960,USA,112,2049
1960,VEN,1,2
1960,YUG,17,95
1964,ARG,1,83
1964,AUS,42,208
1964,BAH,2,4
1964,BEL,3,374
1964,BRA,12,48
1964,BUL,10,36
1964,CAN,5,400
1964,CUB,1,14
1964,DEN,12,326
1964,ETH,1,2
1964,EUA,115,271
1964,FIN,5,460
1964,FRA,31,842
1964,GBR,28,1126
1964,GHA,1,2
1964,HUN,56,533
1964,IND,15,127
1964,IRI,2,19
1964,IRL,1,10
1964,ITA,50,697
1964,JPN,64,194
1964,KEN,1,1
1964,KOR,3,9
1964,MEX,1,32
1964,NED,30,339
1964,NGR,1,1
1964,NZL,6,21
1964,PAK,16,44
1964,PHI,1,6
1964,POL,48,156
1964,ROU,16,79
1964,SUI,6,361
1964,SWE,15,896
1964,TCH,55,205
1964,TRI,6,9
1964,TUN,2,2
1964,TUR,6,39
1964,URS,174,708
1964,URU,1,75
1964,USA,150,2226
1964,YUG,15,110
1968,ARG,2,85
1968,AUS,49,257
1968,AUT,5,177
1968,BEL,3,377
1968,BRA,4,52
1968,BUL,26,62
1968,CAN,10,417
1968,CMR,1,1
1968,CUB,10,24
1968,DEN,16,342
1968,ETH,2,4
1968,FIN,4,479
1968,FRA,27,876
1968,FRG,49,61
1968,GBR,18,1146
1968,GDR,51,51
1968,GRE,1,69
1968,HUN,81,614
1968,IND,15,142
1968,IRI,5,24
1968,ITA,32,739
1968,JAM,1,12
1968,JPN,67,261
1968,KEN,12,13
1968,KOR,2,11
1968,MEX,9,41
1968,MGL,4,4
1968,NED,14,355
1968,NOR,6,495
1968,NZL,7,28
1968,PAK,13,57
1968,POL,37,193
1968,ROU,23,102
1968,SUI,13,374
1968,SWE,9,933
1968,TCH,29,251
1968,TPE,1,2
1968,TUN,2,4
1968,TUR,2,41
1968,UGA,2,2
1968,URS,188,942
1968,USA,149,2383
1968,VEN,1,3
1968,YUG,29,139
1972,ARG,1,86
1972,AUS,20,277
1972,AUT,3,195
1972,BEL,2,379
1972,BRA,2,54
1972,BUL,22,84
1972,CAN,10,447
1972,COL,3,3
1972,CUB,22,46
1972,DEN,1,343
1972,ESP,1,49
1972,ETH,2,6
1972,FIN,10,497
1972,FRA,22,907
1972,FRG,96,167
1972,GBR,29,1175
1972,GDR,148,205
1972,GHA,1,3
1972,GRE,2,71
1972,HUN,81,695
1972,IND,14,156
1972,IRI,3,27
1972,ITA,25,772
1972,JAM,1,13
1972,JPN,56,317
1972,KEN,12,25
1972,KOR,1,12
1972,LIB,1,3
1972,MEX,1,42
1972,MGL,1,5
1972,NED,6,370
1972,NGR,1,2
1972,NIG,1,1
1972,NOR,8,525
1972,NZL,14,42
1972,PAK,15,72
1972,POL,46,239
1972,PRK,15,16
1972,ROU,40,144
1972,SUI,8,391
1972,SWE,21,970
1972,TCH,29,301
1972,TUN,1,5
1972,TUR,1,42
1972,UGA,2,4
1972,URS,211,1190
1972,USA,155,2545
1972,YUG,18,157
1976,AUS,24,301
1976,AUT,1,201
1976,BEL,9,388
1976,BER,1,1
1976,BRA,3,57
1976,BUL,39,123
1976,CAN,20,468
1976,CUB,24,70
1976,DEN,8,351
1976,ESP,6,56
1976,FIN,6,513
1976,FRA,20,930
1976,FRG,75,252
1976,GBR,32,1207
1976,GDR,192,417
1976,HUN,55,750
1976,IRI,2,29
1976,ITA,31,812
1976,JAM,2,15
1976,JPN,41,361
1976,KOR,17,29
1976,MEX,2,44
1976,MGL,1,6
1976,NED,15,394
1976,NOR,6,548
1976,NZL,27,69
1976,PAK,16,88
1976,POL,73,313
1976,POR,2,17
1976,PRK,2,18
1976,PUR,1,2
1976,ROU,55,199
1976,SUI,10,418
1976,SWE,10,984
1976,TCH,15,336
1976,THA,1,1
1976,TRI,1,10
1976,URS,285,1520
1976,USA,155,2725
1976,VEN,1,4
1976,YUG,19,176
1980,AUS,12,313
1980,AUT,5,213
1980,BEL,1,389
1980,BRA,9,66
1980,BUL,94,217
1980,CUB,20,90
1980,DEN,8,359
1980,ESP,24,80
1980,ETH,4,10
1980,FIN,9,538
1980,FRA,29,960
1980,GBR,45,1253
1980,GDR,260,709
1980,GRE,5,76
1980,GUY,1,1
1980,HUN,61,811
1980,IND,16,172
1980,IRL,3,13
1980,ITA,37,853
1980,JAM,3,18
1980,LIB,1,4
1980,MEX,12,56
1980,MGL,4,10
1980,NED,6,406
1980,POL,50,363
1980,PRK,5,23
1980,ROU,72,271
1980,SUI,2,429
1980,SWE,18,1004
1980,TAN,2,2
1980,TCH,52,406
1980,UGA,1,5
1980,URS,442,2018
1980,VEN,1,5
1980,YUG,57,233
1980,ZIM,16,16
1984,ALG,2,2
1984,AUS,50,363
1984,AUT,3,224
1984,BEL,5,394
1984,BRA,37,103
1984,CAN,86,559
1984,CHN,76,76
1984,CIV,1,1
1984,CMR,1,2
1984,COL,1,4
1984,DEN,15,374
1984,DOM,1,1
1984,EGY,1,18
1984,ESP,19,99
1984,FIN,12,562
1984,FRA,68,1029
1984,FRG,157,449
1984,GBR,72,1326
1984,GRE,2,78
1984,IRL,1,14
1984,ISL,1,2
1984,ITA,63,919
1984,JAM,6,24
1984,JPN,49,411
1984,KEN,3,28
1984,KOR,42,71
1984,MAR,2,3
1984,MEX,6,62
1984,NED,40,450
1984,NGR,5,7
1984,NOR,4,578
1984,NZL,23,92
1984,PAK,16,104
1984,PER,1,2
1984,POR,3,20
1984,PUR,2,4
1984,ROU,106,377
1984,SUI,15,453
1984,SWE,32,1058
1984,SYR,1,1
1984,THA,1,2
1984,TPE,1,3
1984,TUR,3,45
1984,USA,333,3099
1984,VEN,3,8
1984,YUG,87,320
1984,ZAM,1,1
1988,AHO,1,1
1988,ARG,13,99
1988,AUS,34,397
1988,AUT,1,226
1988,BEL,2,396
1988,BRA,28,131
1988,BUL,41,259
1988,CAN,21,584
1988,CHI,1,10
1988,CHN,53,129
1988,COL,1,5
1988,CRC,1,1
1988,DEN,7,381
1988,DJI,1,1
1988,ESP,5,104
1988,FIN,4,585
1988,FRA,29,1061
1988,FRG,113,570
1988,GBR,53,1381
1988,GDR,174,955
1988,GRE,1,79
1988,HUN,44,857
1988,INA,3,3
1988,IRI,1,30
1988,ISV,1,1
1988,ITA,29,950
1988,JAM,5,29
1988,JPN,20,432
1988,KEN,9,37
1988,KOR,77,148
1988,MAR,3,6
1988,MEX,2,64
1988,MGL,1,11
1988,NED,44,494
1988,NOR,23,616
1988,NZL,24,116
1988,PAK,1,105
1988,PER,12,14
1988,PHI,1,7
1988,POL,21,384
1988,POR,1,21
1988,ROU,51,428
1988,SEN,1,1
1988,SUI,8,469
1988,SUR,1,1
1988,SWE,16,1104
1988,TCH,10,445
1988,THA,1,3
1988,TUR,2,47
1988,URS,294,2422
1988,USA,193,3301
1988,YUG,63,384
1992,ALG,2,4
1992,ARG,2,101
1992,AUS,57,454
1992,AUT,6,244
1992,BAH,1,5
1992,BEL,3,399
1992,BRA,14,145
1992,BUL,17,276
1992,CAN,44,634
1992,CHN,83,212
1992,COL,1,6
1992,CRO,15,15
1992,CUB,71,161
1992,DEN,14,395
1992,ESP,66,170
1992,EST,3,28
1992,ETH,3,13
1992,EUN,223,223
1992,FIN,7,626
1992,FRA,57,1120
1992,GBR,50,1431
1992,GER,198,751
1992,GHA,13,16
1992,GRE,2,81
1992,HUN,45,902
1992,INA,6,9
1992,IOP,3,3
1992,IRI,3,33
1992,IRL,2,16
1992,ISR,2,2
1992,ITA,46,1004
1992,JAM,4,33
1992,JPN,47,480
1992,KEN,8,45
1992,KOR,49,197
1992,LAT,3,6
1992,LTU,13,13
1992,MAR,3,9
1992,MAS,2,2
1992,MEX,1,65
1992,MGL,2,13
1992,NAM,2,2
1992,NED,33,534
1992,NGR,11,18
1992,NOR,23,650
1992,NZL,15,131
1992,PAK,16,121
1992,PER,1,15
1992,PHI,1,8
1992,POL,42,426
1992,PRK,10,33
1992,PUR,1,5
1992,QAT,1,1
1992,ROU,53,481
1992,RSA,3,76
1992,SLO,6,6
1992,SUI,1,490
1992,SUR,1,2
1992,SWE,35,1169
1992,TCH,8,459
1992,THA,1,4
1992,TPE,20,23
1992,TUR,6,53
1992,USA,224,3532
1996,ALG,3,7
1996,ARG,20,121
1996,ARM,2,2
1996,AUS,132,586
1996,AUT,3,276
1996,AZE,1,1
1996,BAH,5,10
1996,BDI,1,1
1996,BEL,6,405
1996,BLR,23,23
1996,BRA,64,209
1996,BUL,21,297
1996,CAN,51,722
1996,CHN,110,325
1996,CRC,1,2
1996,CRO,29,44
1996,CUB,57,218
1996,CZE,13,13
1996,DEN,24,419
1996,ECU,1,1
1996,ESP,67,238
1996,ETH,3,16
1996,FIN,4,643
1996,FRA,51,1183
1996,GBR,26,1457
1996,GEO,2,2
1996,GER,124,913
1996,GRE,8,89
1996,HKG,1,1
1996,HUN,43,945
1996,INA,6,15
1996,IND,1,173
1996,IRI,3,36
1996,IRL,4,20
1996,ISR,1,3
1996,ITA,71,1096
1996,JAM,16,49
1996,JPN,43,535
1996,KAZ,11,11
1996,KEN,8,53
1996,KOR,66,270
1996,LAT,1,7
1996,LTU,12,25
1996,MAR,2,11
1996,MAS,3,5
1996,MDA,3,3
1996,MEX,1,66
1996,MGL,1,14
1996,MOZ,1,1
1996,NAM,2,4
1996,NED,73,611
1996,NGR,26,44
1996,NOR,25,703
1996,NZL,9,141
1996,PHI,1,9
1996,POL,21,447
1996,POR,3,24
1996,PRK,5,39
1996,PUR,1,6
1996,ROU,38,519
1996,RSA,5,81
1996,RUS,115,115
1996,SLO,2,8
1996,SUI,11,508
1996,SVK,3,3
1996,SWE,31,1207
1996,SYR,1,2
1996,TGA,1,1
1996,THA,2,6
1996,TPE,1,24
1996,TRI,2,12
1996,TUN,1,6
1996,TUR,6,59
1996,UGA,1,6
1996,UKR,34,34
1996,USA,260,3806
1996,UZB,2,2
1996,YUG,26,416
1996,ZAM,1,2
2000,ALG,5,12
2000,ARG,20,141
2000,ARM,1,3
2000,AUS,183,769
2000,AUT,4,280
2000,AZE,3,4
2000,BAH,6,16
2000,BAR,1,1
2000,BEL,7,412
2000,BLR,22,45
2000,BRA,48,257
2000,BUL,13,310
2000,CAN,31,753
2000,CHI,18,28
2000,CHN,79,404
2000,CMR,18,20
2000,COL,1,7
2000,CRC,2,4
2000,CRO,10,54
2000,CUB,69,287
2000,CZE,9,22
2000,DEN,25,444
2000,ESP,43,281
2000,EST,3,31
2000,ETH,8,24
2000,FIN,5,648
2000,FRA,66,1249
2000,GBR,55,1512
2000,GEO,6,8
2000,GER,119,1032
2000,GRE,18,107
2000,HUN,53,998
2000,INA,8,23
2000,IND,1,174
2000,IRI,4,40
2000,IRL,1,21
2000,ISL,1,3
2000,ISR,1,4
2000,ITA,65,1161
2000,JAM,23,72
2000,JPN,43,578
2000,KAZ,7,18
2000,KEN,7,60
2000,KGZ,1,1
2000,KOR,73,343
2000,KSA,2,2
2000,KUW,1,1
2000,LAT,3,10
2000,LTU,17,42
2000,MAR,5,16
2000,MDA,2,5
2000,MEX,6,72
2000,MKD,1,1
2000,MOZ,1,2
2000,NED,79,690
2000,NGR,8,52
2000,NOR,44,747
2000,NZL,4,145
2000,POL,24,471
2000,POR,2,26
2000,PRK,4,43
2000,QAT,1,2
2000,ROU,46,565
2000,RSA,5,86
2000,RUS,188,303
2000,SLO,3,11
2000,SRI,1,2
2000,SUI,14,522
2000,SVK,6,9
2000,SWE,32,1239
2000,THA,3,9
2000,TPE,5,29
2000,TRI,2,14
2000,TUR,5,64
2000,UKR,35,69
2000,URU,1,76
2000,USA,248,4054
2000,UZB,4,6
2000,VIE,1,1
2000,YUG,26,442
2004,ARG,47,188
2004,AUS,157,926
2004,AUT,8,288
2004,AZE,5,9
2004,BAH,2,18
2004,BEL,3,415
2004,BLR,17,62
2004,BRA,40,297
2004,BUL,17,327
2004,CAN,17,770
2004,CHI,4,32
2004,CHN,94,498
2004,CMR,1,21
2004,COL,2,9
2004,CRO,20,74
2004,CUB,61,348
2004,CZE,12,34
2004,DEN,29,473
2004,DOM,1,2
2004,EGY,5,23
2004,ERI,1,1
2004,ESP,27,308
2004,EST,3,34
2004,ETH,7,31
2004,FIN,2,650
2004,FRA,53,1302
2004,GBR,57,1569
2004,GEO,4,12
2004,GER,149,1181
2004,GRE,31,138
2004,HKG,2,3
2004,HUN,40,1038
2004,INA,5,28
2004,IND,1,175
2004,IRI,6,46
2004,ISR,2,6
2004,ITA,102,1263
2004,JAM,13,85
2004,JPN,94,672
2004,KAZ,8,26
2004,KEN,7,67
2004,KOR,52,395
2004,LAT,4,14
2004,LTU,3,45
2004,MAR,3,19
2004,MEX,4,76
2004,MGL,1,15
2004,NED,76,766
2004,NGR,8,60
2004,NOR,7,754
2004,NZL,6,151
2004,PAR,17,17
2004,POL,12,483
2004,POR,3,29
2004,PRK,5,48
2004,ROU,39,604
2004,RSA,10,96
2004,RUS,192,495
2004,SCG,14,14
2004,SLO,5,16
2004,SUI,7,529
2004,SVK,10,19
2004,SWE,12,1251
2004,SYR,1,3
2004,THA,8,17
2004,TPE,9,38
2004,TRI,1,15
2004,TUR,10,74
2004,UAE,1,1
2004,UKR,48,117
2004,USA,264,4318
2004,UZB,5,11
2004,VEN,2,10
2004,ZIM,3,19
2008,AFG,1,1
2008,ALG,2,14
2008,ARG,51,239
2008,ARM,6,9
2008,AUS,149,1075
2008,AUT,3,291
2008,AZE,7,16
2008,BAH,5,23
2008,BEL,5,420
2008,BLR,30,92
2008,BRA,75,372
2008,BUL,5,332
2008,CAN,34,804
2008,CHI,1,33
2008,CHN,184,682
2008,CMR,1,22
2008,COL,2,11
2008,CRO,5,79
2008,CUB,47,395
2008,CZE,7,41
2008,DEN,18,491
2008,DOM,2,4
2008,ECU,1,2
2008,EGY,1,24
2008,ESP,71,379
2008,EST,3,37
2008,ETH,7,38
2008,FIN,5,655
2008,FRA,76,1378
2008,GBR,77,1646
2008,GEO,6,18
2008,GER,101,1282
2008,GRE,7,145
2008,HUN,27,1065
2008,INA,7,35
2008,IND,3,178
2008,IRI,2,48
2008,IRL,3,24
2008,ISL,14,17
2008,ISR,1,7
2008,ITA,42,1305
2008,JAM,17,102
2008,JPN,51,723
2008,KAZ,13,39
2008,KEN,14,81
2008,KGZ,2,3
2008,KOR,78,473
2008,LAT,3,17
2008,LTU,5,50
2008,MAR,2,21
2008,MAS,1,6
2008,MDA,1,6
2008,MEX,4,80
2008,MGL,4,19
2008,MRI,1,1
2008,NED,62,828
2008,NGR,24,84
2008,NOR,22,776
2008,NZL,14,165
2008,PAN,1,3
2008,POL,20,503
2008,POR,2,31
2008,PRK,6,54
2008,ROU,22,626
2008,RSA,1,97
2008,RUS,143,638
2008,SIN,3,4
2008,SLO,5,21
2008,SRB,15,15
2008,SUD,1,1
2008,SUI,11,540
2008,SVK,10,29
2008,SWE,7,1258
2008,THA,4,21
2008,TJK,2,2
2008,TOG,1,1
2008,TPE,4,42
2008,TRI,5,20
2008,TUN,1,7
2008,TUR,8,82
2008,UKR,31,148
2008,USA,315,4633
2008,UZB,6,17
2008,VEN,1,11
2008,VIE,1,2
2008,ZIM,4,23
2012,AFG,1,2
2012,ALG,1,15
2012,ARG,20,259
2012,ARM,2,11
2012,AUS,114,1189
2012,AZE,10,26
2012,BAH,4,27
2012,BEL,3,423
2012,BLR,21,113
2012,BOT,1,1
2012,BRA,59,431
2012,BRN,1,1
2012,BUL,2,334
2012,CAN,57,861
2012,CHN,128,810
2012,CMR,1,23
2012,COL,8,19
2012,CRO,35,114
2012,CUB,15,410
2012,CYP,1,1
2012,CZE,15,56
2012,DEN,16,507
2012,DOM,2,6
2012,EGY,4,28
2012,ESP,65,444
2012,EST,2,39
2012,ETH,7,45
2012,FIN,5,660
2012,FRA,82,1460
2012,GAB,1,1
2012,GBR,126,1772
2012,GEO,7,25
2012,GER,94,1376
2012,GRE,3,148
2012,GRN,1,1
2012,GUA,1,1
2012,HKG,1,4
2012,HUN,26,1091
2012,INA,3,38
2012,IND,6,184
2012,IRI,13,61
2012,IRL,6,30
2012,ITA,68,1373
2012,JAM,25,127
2012,JPN,84,807
2012,KAZ,10,49
2012,KEN,12,93
2012,KOR,63,536
2012,KSA,4,6
2012,KUW,1,2
2012,LAT,3,20
2012,LTU,5,55
2012,MAR,1,22
2012,MAS,2,8
2012,MEX,26,106
2012,MGL,5,24
2012,MNE,14,14
2012,NED,69,897
2012,NOR,17,793
2012,NZL,26,191
2012,POL,12,515
2012,POR,2,33
2012,PRK,6,60
2012,PUR,2,8
2012,QAT,2,4
2012,ROU,16,642
2012,RSA,9,106
2012,RUS,130,768
2012,SGP,4,4
2012,SLO,5,26
2012,SRB,16,31
2012,SUI,4,544
2012,SVK,5,34
2012,SWE,23,1281
2012,THA,4,25
2012,TJK,1,3
2012,TPE,2,44
2012,TTO,10,10
2012,TUN,3,10
2012,TUR,4,86
2012,UGA,1,7
2012,UKR,25,173
2012,USA,250,4883
