Year,Country,Medal,Total_Medal
1924,AUT,4,4
1924,BEL,5,5
1924,CAN,9,9
1924,FIN,15,15
1924,FRA,12,12
1924,GBR,25,25
1924,NOR,17,17
1924,SUI,9,9
1924,SWE,9,9
1924,USA,13,13
1928,AUT,6,10
1928,BEL,1,6
1928,CAN,12,21
1928,FIN,4,19
1928,FRA,2,14
1928,GBR,1,26
1928,GER,5,5
1928,NOR,15,32
1928,SUI,12,21
1928,SWE,16,25
1928,TCH,1,1
1928,USA,14,27
1932,AUT,2,12
1932,CAN,20,41
1932,FIN,3,22
1932,FRA,2,16
1932,GER,21,26
1932,HUN,2,2
1932,NOR,10,42
1932,SUI,8,29
1932,SWE,3,28
1932,USA,45,72
1936,AUT,5,17
1936,CAN,13,54
1936,FIN,9,31
1936,FRA,1,17
1936,GBR,17,43
1936,GER,7,33
1936,HUN,2,4
1936,NOR,18,60
1936,SUI,10,39
1936,SWE,10,38
1936,USA,16,88
1948,AUT,8,25
1948,BEL,6,12
1948,CAN,20,74
1948,FIN,9,40
1948,FRA,5,22
1948,GBR,2,45
1948,HUN,2,6
1948,ITA,1,1
1948,NOR,13,73
1948,SUI,28,67
1948,SWE,13,51
1948,TCH,17,18
1948,USA,16,104
1952,AUT,8,33
1952,CAN,17,91
1952,FIN,12,52
1952,FRA,1,23
1952,FRG,12,12
1952,GBR,1,46
1952,HUN,2,8
1952,ITA,2,3
1952,NED,3,3
1952,NOR,19,92
1952,SUI,6,73
1952,SWE,23,74
1952,USA,30,134
1956,AUT,12,45
1956,CAN,20,111
1956,EUA,2,2
1956,FIN,12,64
1956,HUN,2,10
1956,ITA,8,11
1956,JPN,1,1
1956,NOR,4,96
1956,POL,1,1
1956,SUI,10,83
1956,SWE,15,89
1956,URS,37,37
1956,USA,26,160
1960,AUT,6,51
1960,CAN,21,132
1960,EUA,9,11
1960,FIN,13,77
1960,FRA,3,26
1960,ITA,1,12
1960,NED,2,5
1960,NOR,9,105
1960,POL,2,3
1960,SUI,2,85
1960,SWE,9,98
1960,TCH,1,19
1960,URS,42,79
1960,USA,27,187
1964,AUT,17,68
1964,CAN,7,139
1964,EUA,10,21
1964,FIN,15,92
1964,FRA,7,33
1964,GBR,2,48
1964,ITA,10,22
1964,NED,2,7
1964,NOR,15,120
1964,PRK,1,1
1964,SWE,28,126
1964,TCH,17,36
1964,URS,46,125
1964,USA,8,195
1968,AUT,15,83
1968,CAN,20,159
1968,FIN,8,100
1968,FRA,9,42
1968,FRG,10,22
1968,GDR,6,6
1968,ITA,8,30
1968,NED,9,16
1968,NOR,22,142
1968,ROU,2,2
1968,SUI,9,94
1968,SWE,16,142
1968,TCH,21,57
1968,URS,37,162
1968,USA,7,202
1972,AUT,5,88
1972,CAN,1,160
1972,ESP,1,1
1972,FIN,10,110
1972,FRA,3,45
1972,FRG,10,32
1972,GDR,20,26
1972,ITA,9,39
1972,JPN,3,4
1972,NED,9,25
1972,NOR,17,159
1972,POL,1,4
1972,SUI,17,111
1972,SWE,4,146
1972,TCH,20,77
1972,URS,45,207
1972,USA,25,227
1976,AUT,7,95
1976,CAN,3,163
1976,FIN,16,126
1976,FRA,1,46
1976,FRG,32,64
1976,GBR,1,49
1976,GDR,32,58
1976,ITA,4,43
1976,LIE,2,2
1976,NED,6,31
1976,NOR,10,169
1976,SUI,9,120
1976,SWE,2,148
1976,TCH,18,95
1976,URS,56,263
1976,USA,11,238
1980,AUT,8,103
1980,BUL,1,1
1980,CAN,2,165
1980,FIN,12,138
1980,FRA,1,47
1980,FRG,8,72
1980,GBR,1,50
1980,GDR,39,97
1980,HUN,2,12
1980,ITA,3,46
1980,JPN,1,5
1980,LIE,4,6
1980,NED,4,35
1980,NOR,16,185
1980,SUI,9,129
1980,SWE,22,170
1980,TCH,1,96
1980,URS,54,317
1980,USA,30,268
1984,AUT,1,104
1984,CAN,4,169
1984,FIN,19,157
1984,FRA,3,50
1984,FRG,8,80
1984,GBR,2,52
1984,GDR,33,130
1984,ITA,2,48
1984,JPN,1,6
1984,LIE,2,8
1984,NOR,15,200
1984,SUI,8,137
1984,SWE,30,200
1984,TCH,28,124
1984,URS,56,373
1984,USA,9,277
1984,YUG,1,1
1988,AUT,12,116
1988,CAN,6,175
1988,FIN,34,191
1988,FRA,2,52
1988,FRG,14,94
1988,GDR,32,162
1988,ITA,8,56
1988,JPN,1,7
1988,LIE,1,9
1988,NED,7,42
1988,NOR,11,211
1988,SUI,20,157
1988,SWE,30,230
1988,TCH,6,130
1988,URS,67,440
1988,USA,7,284
1988,YUG,6,7
1992,AUT,29,145
1992,CAN,37,212
1992,CHN,3,3
1992,ESP,1,2
1992,EUN,60,60
1992,FIN,13,204
1992,FRA,12,64
1992,GER,38,71
1992,ITA,21,77
1992,JPN,12,19
1992,KOR,7,7
1992,LUX,2,2
1992,NED,4,46
1992,NOR,28,239
1992,NZL,1,1
1992,PRK,1,2
1992,SUI,7,164
1992,SWE,7,237
1992,TCH,28,158
1992,USA,14,298
1994,AUS,4,4
1994,AUT,12,157
1994,BLR,2,2
1994,CAN,40,252
1994,CHN,3,6
1994,FIN,31,235
1994,FRA,11,75
1994,GBR,3,55
1994,GER,40,111
1994,ITA,33,110
1994,JPN,10,29
1994,KAZ,3,3
1994,KOR,10,17
1994,NED,4,50
1994,NOR,34,273
1994,RUS,36,36
1994,SLO,3,3
1994,SUI,16,180
1994,SWE,24,261
1994,UKR,2,2
1994,USA,21,319
1994,UZB,1,1
1998,AUS,1,5
1998,AUT,20,177
1998,BEL,1,13
1998,BLR,2,4
1998,BUL,1,2
1998,CAN,49,301
1998,CHN,14,20
1998,CZE,24,24
1998,DEN,5,5
1998,FIN,59,294
1998,FRA,15,90
1998,GBR,4,59
1998,GER,44,155
1998,ITA,17,127
1998,JPN,13,42
1998,KAZ,2,5
1998,KOR,12,29
1998,NED,11,61
1998,NOR,44,317
1998,RUS,53,89
1998,SUI,14,194
1998,SWE,7,268
1998,UKR,1,3
1998,USA,34,353
2002,AUS,2,7
2002,AUT,20,197
2002,BLR,1,5
2002,BUL,3,5
2002,CAN,75,376
2002,CHN,16,36
2002,CRO,4,4
2002,CZE,3,27
2002,EST,3,3
2002,FIN,13,307
2002,FRA,15,105
2002,GBR,6,65
2002,GER,61,216
2002,ITA,21,148
2002,JPN,2,44
2002,KOR,7,36
2002,NED,8,69
2002,NOR,41,358
2002,POL,2,6
2002,RUS,40,129
2002,SLO,4,7
2002,SUI,24,218
2002,SWE,26,294
2002,USA,84,437
2006,AUS,2,9
2006,AUT,30,227
2006,BLR,1,6
2006,BUL,1,6
2006,CAN,68,444
2006,CHN,13,49
2006,CRO,3,7
2006,CZE,28,55
2006,EST,3,6
2006,FIN,43,350
2006,FRA,15,120
2006,GBR,1,66
2006,GER,54,270
2006,ITA,25,173
2006,JPN,1,45
2006,KOR,19,55
2006,LAT,1,1
2006,NED,13,82
2006,NOR,23,381
2006,POL,2,8
2006,RUS,41,170
2006,SUI,22,240
2006,SVK,1,1
2006,SWE,65,359
2006,UKR,3,6
2006,USA,53,490
2010,AUS,3,12
2010,AUT,26,253
2010,BLR,3,9
2010,CAN,91,535
2010,CHN,20,69
2010,CRO,3,10
2010,CZE,9,64
2010,EST,1,7
2010,FIN,50,400
2010,FRA,14,134
2010,GBR,1,67
2010,GER,54,324
2010,ITA,5,178
2010,JPN,7,52
2010,KAZ,1,6
2010,KOR,18,73
2010,LAT,3,4
2010,NED,11,93
2010,NOR,40,421
2010,POL,8,16
2010,RUS,25,195
2010,SLO,3,10
2010,SUI,13,253
2010,SVK,3,4
2010,SWE,19,378
2010,USA,98,588
2014,AUS,3,15
2014,AUT,27,280
2014,BLR,6,15
2014,CAN,90,625
2014,CHN,13,82
2014,CRO,1,11
2014,CZE,11,75
2014,FIN,34,434
2014,FRA,18,152
2014,GBR,12,79
2014,GER,36,360
2014,ITA,14,192
2014,JPN,11,63
2014,KAZ,1,7
2014,KOR,14,87
2014,LAT,11,15
2014,NED,29,122
2014,NOR,36,457
2014,POL,11,27
2014,RUS,68,263
2014,SLO,8,18
2014,SUI,32,285
2014,SVK,1,5
2014,SWE,55,433
2014,UKR,5,11
2014,USA,65,653
