final_base_globe
City;Country;Summer..Olympiad.;Winter;Year;latitude;longitude
Athens;Greece;I;-;1896;39.074207;21.824312
Paris;France;II;-;1900;46.227638;2.213749
St. Louis;United States;III;-;1904;37.090240;-95.712891
London;United Kingdom;IV;-;1908;55.378052;-3.435973
Stockholm;Sweden;V;-;1912;60.128162;18.643501
Berlin;Germany;VI;-;1916;51.165691;10.451526
Antwerp;Belgium;VII;-;1920;50.503887;4.469936
Chamonix;France;-;I;1924;46.227638;2.213749
Paris;France;VIII;-;;46.227638;2.213749
St. Moritz;Switzerland;-;II;1928;46.818188;8.227512
Amsterdam;Netherlands;IX;-;;52.132633;5.291266
Lake Placid;United States;-;III;1932;37.090240;-95.712891
Los Angeles;United States;X;-;;37.090240;-95.712891
Garmisch-Partenkirchen;Germany;-;IV;1936;51.165691;10.451526
Berlin;Germany;XI;-;;51.165691;10.451526
"Sapporo
 Garmisch-Partenkirchen;Germany;-;V;1940;51.165691;10.451526"
"Tokyo
 Helsinki;Finland;XII;-;;61.924110;25.748152"
Cortina d'Ampezzo;Italy;-;V;1944;41.871941;12.567380
London;United Kingdom;XIII;-;;55.378052;-3.435973
St. Moritz;Switzerland;-;V;1948;46.818188;8.227512
London;United Kingdom;XIV;-;;55.378052;-3.435973
Oslo;Norway;-;VI;1952;60.472023;8.468946
Helsinki;Finland;XV;-;;61.924110;25.748152
Cortina d'Ampezzo;Italy;-;VII;1956;41.871941;12.567380
"Melbourne
 Stockholm;Sweden;XVI;-;;60.128162;18.643501"
Squaw Valley;United States;-;VIII;1960;37.090240;-95.712891
Rome;Italy;XVII;-;;41.871941;12.567380
Innsbruck;Austria;-;IX;1964;47.516232;14.550072
Tokyo;Japan;XVIII;-;;36.204823;138.252930
Grenoble;France;-;X;1968;46.227638;2.213749
Mexico City;Mexico;XIX;-;;23.634501;-102.552788
Sapporo;Japan;-;XI;1972;36.204823;138.252930
Munich;Germany;XX;-;;51.165691;10.451526
Innsbruck;Austria;-;XII;1976;47.516232;14.550072
Montreal;Canada;XXI;-;;56.130367;-106.346771
Lake Placid;United States;-;XIII;1980;37.090240;-95.712891
Moscow;Russia;XXII;-;;61.524010;105.318756
Sarajevo;Yugoslavia;-;XIV;1984;50.605438;4.133180
Los Angeles;United States;XXIII;-;;37.090240;-95.712891
Calgary;Canada;-;XV;1988;56.130367;-106.346771
Seoul;South Korea;XXIV;-;;35.907757;127.766922
Albertville;France;-;XVI;1992;46.227638;2.213749
Barcelona;Spain;XXV;-;;40.463669;-3.749220
Lillehammer;Norway;-;XVII;1994;60.472023;8.468946
Atlanta;United States;XXVI;-;1996;37.090240;-95.712891
Nagano;Japan;-;XVIII;1998;36.204823;138.252930
Sydney;Australia;XXVII;-;2000;-25.274399;133.775131
Salt Lake City;United States;-;XIX;2002;37.090240;-95.712891
Athens;Greece;XXVIII;-;2004;39.074207;21.824312
Turin;Italy;-;XX;2006;41.871941;12.567380
Beijing;China;XXIX;-;2008;35.861660;104.195396
Vancouver;Canada;-;XXI;2010;56.130367;-106.346771
London;United Kingdom;XXX;-;2012;55.378052;-3.435973
Sochi;Russia;-;XXII;2014;61.524010;105.318756
