Season,Sport,Discipline,Event
Winter,Biathlon,Biathlon,Military Patrol
Winter,Bobsleigh,Bobsleigh,Four-Man
Winter,Curling,Curling,Curling
Winter,Ice Hockey,Ice Hockey,Ice Hockey
Winter,Skating,Figure skating,Individual
Winter,Skating,Figure skating,Pairs
Winter,Skating,Speed skating,10000M
Winter,Skating,Speed skating,1500M
Winter,Skating,Speed skating,5000M
Winter,Skating,Speed skating,500M
Winter,Skating,Speed skating,Combined (4 Events)
Winter,Skiing,Cross Country Skiing,18KM
Winter,Skiing,Cross Country Skiing,50KM
Winter,Skiing,Ski Jumping,K90 Individual (70M)
Winter,Bobsleigh,Bobsleigh,Five-Man
Winter,Bobsleigh,Bobsleigh,Two-Man
Winter,Skiing,Alpine Skiing,Alpine Combined
Winter,Skiing,Cross Country Skiing,4X10KM Relay
Winter,Skiing,Alpine Skiing,Downhill
Winter,Skiing,Alpine Skiing,Slalom
Winter,Skiing,Alpine Skiing,Giant Slalom
Winter,Skiing,Cross Country Skiing,10KM
Winter,Skiing,Cross Country Skiing,15KM
Winter,Skiing,Cross Country Skiing,30KM Mass Start
Winter,Skiing,Cross Country Skiing,3X5KM Relay
Winter,Biathlon,Biathlon,20KM
Winter,Skating,Speed skating,1000M
Winter,Skating,Speed skating,3000M
Winter,Luge,Luge,Doubles
Winter,Luge,Luge,Singles
Winter,Skiing,Cross Country Skiing,5KM
Winter,Skiing,Ski Jumping,K120 Individual (90M)
Winter,Biathlon,Biathlon,4X7.5KM Relay
Winter,Skating,Figure skating,Ice Dancing
Winter,Skiing,Cross Country Skiing,4X5KM Relay
Winter,Skiing,Alpine Skiing,Super-G
Winter,Skiing,Nordic Combined,Team
Winter,Skiing,Ski Jumping,K120 Team (90M)
Winter,Biathlon,Biathlon,7.5KM
Winter,Skating,Short Track Speed Skating,3000M Relay
Winter,Skating,Short Track Speed Skating,5000M Relay
Winter,Skiing,Cross Country Skiing,10KM Pursuit
Winter,Skiing,Cross Country Skiing,15KM Mass Start
Winter,Skiing,Cross Country Skiing,30KM
Winter,Skiing,Cross Country Skiing,Combined 10KM + 15KM Pursuit
Winter,Skiing,Cross Country Skiing,Combined 5KM + 10KM Pursuit
Winter,Skiing,Freestyle Skiing,Moguls
Winter,Skiing,Freestyle Skiing,Aerials
Winter,Skiing,Snowboard,Giant-Slalom
Winter,Skiing,Snowboard,Half-Pipe
Winter,Biathlon,Biathlon,12.5Km Pursuit
Winter,Skiing,Cross Country Skiing,5Km Pursuit
Winter,Skiing,Cross Country Skiing,Sprint 1.5KM
Winter,Skiing,Nordic Combined,Sprint
Winter,Skiing,Snowboard,Giant Parallel Slalom
Winter,Biathlon,Biathlon,12.5KM Mass Start
Winter,Biathlon,Biathlon,4X6KM Relay
Winter,Skating,Speed skating,Team Pursuit
Winter,Skiing,Cross Country Skiing,Combined 15 + 15KM Mass Start
Winter,Skiing,Cross Country Skiing,Combined 7.5 + 7.5Km Mass Start
Winter,Skiing,Cross Country Skiing,Team Sprint
Winter,Skiing,Nordic Combined,Individual Sprint
Winter,Skiing,Snowboard,Snowboard Cross
Winter,Skiing,Alpine Skiing,Super Combined
Winter,Skiing,Freestyle Skiing,Ski Cross
Winter,Skiing,Nordic Combined,"Individual, Ski Jumping K90 (70M)"
Winter,Skiing,Nordic Combined,Sprint K120
Winter,Skiing,Nordic Combined,"Team, 4X5 KM"
Winter,Biathlon,Biathlon,Relay Mix
Winter,Bobsleigh,Bobsleigh,Two-Woman
Winter,Luge,Luge,Mixed Relay
Winter,Skiing,Cross Country Skiing,Combined 15+15K
Winter,Skiing,Cross Country Skiing,Combined7.5+7.5
Winter,Skiing,Freestyle Skiing,Ski Halfpipe
Winter,Skiing,Freestyle Skiing,Ski Slopestyle
Winter,Skiing,Nordic Combined,Ind. K90 (70M)
Winter,Skiing,Ski Jumping,Large Hill
Winter,Skiing,Ski Jumping,Normal Hill
Winter,Skiing,Ski Jumping,Teams
Winter,Skiing,Ski Jumping,K90 Individual
Winter,Skiing,Snowboard,Giant Parall.S.
Winter,Skiing,Snowboard,Parallel Slalom
Winter,Skiing,Snowboard,Slopestyle
