Season,Sport,Discipline,Event
Winter,Biathlon,Biathlon,Military Patrol
Winter,Bobsleigh,Bobsleigh,Four-Man
Winter,Curling,Curling,Curling
Winter,Ice Hockey,Ice Hockey,Ice Hockey
Winter,Skating,Figure skating,Individual
Winter,Skating,Figure skating,Pairs
Winter,Skating,Speed skating,10000M
Winter,Skating,Speed skating,1500M
Winter,Skating,Speed skating,5000M
Winter,Skating,Speed skating,500M
Winter,Skating,Speed skating,Combined (4 Events)
Winter,Skiing,Cross Country Skiing,18KM
Winter,Skiing,Cross Country Skiing,50KM
Winter,Skiing,Ski Jumping,K90 Individual (70M)
Winter,Bobsleigh,Bobsleigh,Five-Man
Winter,Bobsleigh,Bobsleigh,Two-Man
Winter,Skiing,Alpine Skiing,Alpine Combined
Winter,Skiing,Cross Country Skiing,4X10KM Relay
Winter,Skiing,Alpine Skiing,Downhill
Winter,Skiing,Alpine Skiing,Slalom
Winter,Skiing,Alpine Skiing,Giant Slalom
Winter,Skiing,Cross Country Skiing,10KM
Winter,Skiing,Cross Country Skiing,15KM
Winter,Skiing,Cross Country Skiing,30KM Mass Start
Winter,Skiing,Cross Country Skiing,3X5KM Relay
Winter,Biathlon,Biathlon,20KM
Winter,Skating,Speed skating,1000M
Winter,Skating,Speed skating,3000M
Winter,Luge,Luge,Doubles
Winter,Luge,Luge,Singles
Winter,Skiing,Cross Country Skiing,5KM
Winter,Skiing,Ski Jumping,K120 Individual (90M)
Winter,Biathlon,Biathlon,4X7.5KM Relay
Winter,Skating,Figure skating,Ice Dancing
Winter,Skiing,Cross Country Skiing,4X5KM Relay
Winter,Skiing,Alpine Skiing,Super-G
Winter,Skiing,Nordic Combined,Team
Winter,Skiing,Ski Jumping,K120 Team (90M)
Winter,Biathlon,Biathlon,7.5KM
Winter,Skating,Short Track Speed Skating,3000M Relay
Winter,Skating,Short Track Speed Skating,5000M Relay
Winter,Skiing,Cross Country Skiing,10KM Pursuit
Winter,Skiing,Cross Country Skiing,15KM Mass Start
Winter,Skiing,Cross Country Skiing,30KM
Winter,Skiing,Cross Country Skiing,Combined 10KM + 15KM Pursuit
Winter,Skiing,Cross Country Skiing,Combined 5KM + 10KM Pursuit
Winter,Skiing,Freestyle Skiing,Moguls
Winter,Skiing,Freestyle Skiing,Aerials
Winter,Skiing,Snowboard,Giant-Slalom
Winter,Skiing,Snowboard,Half-Pipe
Winter,Biathlon,Biathlon,12.5Km Pursuit
Winter,Skiing,Cross Country Skiing,5Km Pursuit
Winter,Skiing,Cross Country Skiing,Sprint 1.5KM
Winter,Skiing,Nordic Combined,Sprint
Winter,Skiing,Snowboard,Giant Parallel Slalom
Winter,Biathlon,Biathlon,12.5KM Mass Start
Winter,Biathlon,Biathlon,4X6KM Relay
Winter,Skating,Speed skating,Team Pursuit
Winter,Skiing,Cross Country Skiing,Combined 15 + 15KM Mass Start
Winter,Skiing,Cross Country Skiing,Combined 7.5 + 7.5Km Mass Start
Winter,Skiing,Cross Country Skiing,Team Sprint
Winter,Skiing,Nordic Combined,Individual Sprint
Winter,Skiing,Snowboard,Snowboard Cross
Winter,Skiing,Alpine Skiing,Super Combined
Winter,Skiing,Freestyle Skiing,Ski Cross
Winter,Skiing,Nordic Combined,"Individual, Ski Jumping K90 (70M)"
Winter,Skiing,Nordic Combined,Sprint K120
Winter,Skiing,Nordic Combined,"Team, 4X5 KM"
Winter,Biathlon,Biathlon,Relay Mix
Winter,Bobsleigh,Bobsleigh,Two-Woman
Winter,Luge,Luge,Mixed Relay
Winter,Skiing,Cross Country Skiing,Combined 15+15K
Winter,Skiing,Cross Country Skiing,Combined7.5+7.5
Winter,Skiing,Freestyle Skiing,Ski Halfpipe
Winter,Skiing,Freestyle Skiing,Ski Slopestyle
Winter,Skiing,Nordic Combined,Ind. K90 (70M)
Winter,Skiing,Ski Jumping,Large Hill
Winter,Skiing,Ski Jumping,Normal Hill
Winter,Skiing,Ski Jumping,Teams
Winter,Skiing,Ski Jumping,K90 Individual
Winter,Skiing,Snowboard,Giant Parall.S.
Winter,Skiing,Snowboard,Parallel Slalom
Winter,Skiing,Snowboard,Slopestyle
Summer,Aquatics,Swimming,100M Freestyle
Summer,Aquatics,Swimming,100M Freestyle For Sailors
Summer,Aquatics,Swimming,1200M Freestyle
Summer,Aquatics,Swimming,400M Freestyle
Summer,Athletics,Athletics,100M
Summer,Athletics,Athletics,110M Hurdles
Summer,Athletics,Athletics,1500M
Summer,Athletics,Athletics,400M
Summer,Athletics,Athletics,800M
Summer,Athletics,Athletics,Discus Throw
Summer,Athletics,Athletics,High Jump
Summer,Athletics,Athletics,Long Jump
Summer,Athletics,Athletics,Marathon
Summer,Athletics,Athletics,Pole Vault
Summer,Athletics,Athletics,Shot Put
Summer,Athletics,Athletics,Triple Jump
Summer,Cycling,Cycling Road,Individual Road Race
Summer,Cycling,Cycling Track,100KM
Summer,Cycling,Cycling Track,10KM
Summer,Cycling,Cycling Track,12-Hour Race
Summer,Cycling,Cycling Track,1KM Time Trial
Summer,Cycling,Cycling Track,Sprint Indivual
Summer,Fencing,Fencing,Foil Individual
Summer,Fencing,Fencing,"Foil, Masters"
Summer,Fencing,Fencing,Sabre Individual
Summer,Gymnastics,Artistic G.,Horizontal Bar
Summer,Gymnastics,Artistic G.,Parallel Bars
Summer,Gymnastics,Artistic G.,Pommel Horse
Summer,Gymnastics,Artistic G.,Rings
Summer,Gymnastics,Artistic G.,Rope Climbing
Summer,Gymnastics,Artistic G.,"Team, Horizontal Bar"
Summer,Gymnastics,Artistic G.,"Team, Parallel Bars"
Summer,Gymnastics,Artistic G.,Vault
Summer,Shooting,Shooting,25M Army Pistol
Summer,Shooting,Shooting,25M Rapid Fire Pistol (60 Shots)
Summer,Shooting,Shooting,50M Pistol (60 Shots)
Summer,Shooting,Shooting,"Army Rifle, 200M"
Summer,Shooting,Shooting,"Army Rifle, 300M"
Summer,Tennis,Tennis,Doubles
Summer,Tennis,Tennis,Singles
Summer,Weightlifting,Weightlifting,Heavyweight - One Hand Lift
Summer,Weightlifting,Weightlifting,Heavyweight - Two Hand Lift
Summer,Wrestling,Wrestling Gre-R,Open Event
Summer,Aquatics,Swimming,1500M Freestyle
Summer,Aquatics,Swimming,200M Backstroke
