date,name,value
1896-01-01,AUS,2
1896-01-01,AUT,5
1896-01-01,DEN,6
1896-01-01,FRA,11
1896-01-01,GBR,7
1896-01-01,GER,33
1896-01-01,GRE,52
1896-01-01,HUN,6
1896-01-01,SUI,3
1896-01-01,USA,20
1896-01-01,ZZX,6
1900-01-01,AUS,7
1900-01-01,AUT,11
1900-01-01,BEL,39
1900-01-01,BOH,2
1900-01-01,CAN,2
1900-01-01,CUB,2
1900-01-01,DEN,12
1900-01-01,ESP,2
1900-01-01,FRA,196
1900-01-01,GBR,85
1900-01-01,GER,73
1900-01-01,HUN,11
1900-01-01,IND,2
1900-01-01,ITA,4
1900-01-01,NED,20
1900-01-01,NOR,9
1900-01-01,SUI,18
1900-01-01,SWE,1
1900-01-01,USA,75
1900-01-01,ZZX,40
1904-01-01,AUT,12
1904-01-01,CAN,37
1904-01-01,CUB,11
1904-01-01,GBR,87
1904-01-01,GER,86
1904-01-01,GRE,54
1904-01-01,HUN,15
1904-01-01,SUI,20
1904-01-01,USA,469
1904-01-01,ZZX,48
1908-01-01,ANZ,19
1908-01-01,AUT,13
1908-01-01,BEL,70
1908-01-01,BOH,7
1908-01-01,CAN,88
1908-01-01,DEN,27
1908-01-01,FIN,29
1908-01-01,FRA,231
1908-01-01,GBR,434
1908-01-01,GER,108
1908-01-01,GRE,57
1908-01-01,HUN,33
1908-01-01,ITA,11
1908-01-01,NED,31
1908-01-01,NOR,53
1908-01-01,RSA,2
1908-01-01,RU1,3
1908-01-01,SWE,99
1908-01-01,USA,532
1912-01-01,ANZ,29
1912-01-01,AUT,27
1912-01-01,BEL,89
1912-01-01,CAN,96
1912-01-01,DEN,111
1912-01-01,FIN,96
1912-01-01,FRA,256
1912-01-01,GBR,594
1912-01-01,GER,160
1912-01-01,GRE,59
1912-01-01,HUN,63
1912-01-01,ITA,32
1912-01-01,NED,53
1912-01-01,NOR,129
1912-01-01,RSA,9
1912-01-01,RU1,17
1912-01-01,SWE,272
1912-01-01,USA,633
1920-01-01,AUS,13
1920-01-01,BEL,277
1920-01-01,BRA,7
1920-01-01,CAN,112
1920-01-01,DEN,186
1920-01-01,ESP,26
1920-01-01,EST,3
1920-01-01,FIN,145
1920-01-01,FRA,397
1920-01-01,GBR,701
1920-01-01,GRE,64
1920-01-01,ITA,116
1920-01-01,JPN,3
1920-01-01,LUX,1
1920-01-01,NED,101
1920-01-01,NOR,270
1920-01-01,NZL,1
1920-01-01,RSA,30
1920-01-01,SUI,49
1920-01-01,SWE,418
1920-01-01,TCH,10
1920-01-01,USA,826
1924-01-01,ARG,11
1924-01-01,AUS,23
1924-01-01,AUT,31
1924-01-01,BEL,315
1924-01-01,CAN,132
1924-01-01,DEN,198
1924-01-01,EST,9
1924-01-01,FIN,197
1924-01-01,FRA,519
1924-01-01,GBR,767
1924-01-01,HAI,7
1924-01-01,HUN,83
1924-01-01,ITA,167
1924-01-01,JPN,4
1924-01-01,NED,127
1924-01-01,NOR,296
1924-01-01,NZL,2
1924-01-01,POL,5
1924-01-01,POR,3
1924-01-01,ROU,23
1924-01-01,RSA,33
1924-01-01,SUI,114
1924-01-01,SWE,498
1924-01-01,TCH,20
1924-01-01,URU,22
1924-01-01,USA,1024
1924-01-01,YUG,2
1928-01-01,ARG,43
1928-01-01,AUS,27
1928-01-01,AUT,39
1928-01-01,BEL,325
1928-01-01,CAN,174
1928-01-01,CHI,1
1928-01-01,DEN,211
1928-01-01,EGY,4
1928-01-01,ESP,29
1928-01-01,EST,18
1928-01-01,FIN,237
1928-01-01,FRA,567
1928-01-01,GBR,847
1928-01-01,GER,232
1928-01-01,HAI,8
1928-01-01,HUN,103
1928-01-01,IND,17
1928-01-01,IRL,1
1928-01-01,ITA,237
1928-01-01,JPN,12
1928-01-01,NED,192
1928-01-01,NOR,322
1928-01-01,NZL,3
1928-01-01,PHI,1
1928-01-01,POL,23
1928-01-01,RSA,39
1928-01-01,SUI,152
1928-01-01,SWE,543
1928-01-01,TCH,36
1928-01-01,URU,44
1928-01-01,USA,1121
1928-01-01,YUG,14
1932-01-01,ARG,47
1932-01-01,AUS,32
1932-01-01,AUT,50
1932-01-01,CAN,224
1932-01-01,DEN,220
1932-01-01,ESP,30
1932-01-01,FIN,270
1932-01-01,FRA,606
1932-01-01,GBR,882
1932-01-01,GER,275
1932-01-01,HUN,135
1932-01-01,IND,28
1932-01-01,IRL,3
1932-01-01,ITA,314
1932-01-01,JPN,43
1932-01-01,LAT,1
1932-01-01,MEX,2
1932-01-01,NED,204
1932-01-01,NZL,5
1932-01-01,PHI,4
1932-01-01,POL,42
1932-01-01,RSA,44
1932-01-01,SUI,165
1932-01-01,SWE,590
1932-01-01,TCH,41
1932-01-01,URU,45
1932-01-01,USA,1316
1936-01-01,ARG,58
1936-01-01,AUS,33
1936-01-01,AUT,102
1936-01-01,BEL,338
1936-01-01,CAN,266
1936-01-01,DEN,226
1936-01-01,EGY,9
1936-01-01,EST,25
1936-01-01,FIN,299
1936-01-01,FRA,651
1936-01-01,GBR,918
1936-01-01,GER,506
1936-01-01,HUN,179
1936-01-01,IND,47
1936-01-01,ITA,385
1936-01-01,JPN,64
1936-01-01,LAT,3
1936-01-01,MEX,18
1936-01-01,NED,241
1936-01-01,NOR,375
1936-01-01,NZL,6
1936-01-01,PHI,5
1936-01-01,POL,51
1936-01-01,POR,6
1936-01-01,ROU,25
1936-01-01,RSA,45
1936-01-01,SUI,220
1936-01-01,SWE,627
1936-01-01,TCH,58
1936-01-01,TUR,2
1936-01-01,USA,1453
1936-01-01,YUG,15
1948-01-01,ARG,70
1948-01-01,AUS,49
1948-01-01,AUT,111
1948-01-01,BEL,352
1948-01-01,BRA,19
1948-01-01,CAN,285
1948-01-01,CUB,13
1948-01-01,DEN,275
1948-01-01,EGY,14
1948-01-01,ESP,33
1948-01-01,FIN,337
1948-01-01,FRA,720
1948-01-01,GBR,991
1948-01-01,HUN,241
1948-01-01,IND,67
1948-01-01,IRI,1
1948-01-01,ITA,448
1948-01-01,JAM,3
1948-01-01,KOR,2
1948-01-01,MEX,27
1948-01-01,NED,283
1948-01-01,NOR,411
1948-01-01,PAN,2
1948-01-01,PER,1
1948-01-01,POL,52
1948-01-01,POR,11
1948-01-01,PUR,1
1948-01-01,RSA,49
1948-01-01,SRI,1
1948-01-01,SUI,262
1948-01-01,SWE,710
1948-01-01,TCH,78
1948-01-01,TRI,1
1948-01-01,TUR,14
1948-01-01,URU,48
1948-01-01,USA,1617
1948-01-01,YUG,31
1952-01-01,ARG,76
1952-01-01,AUS,69
1952-01-01,AUT,122
1952-01-01,BEL,365
1952-01-01,BRA,22
1952-01-01,BUL,1
1952-01-01,CAN,309
1952-01-01,CHI,5
1952-01-01,DEN,284
1952-01-01,EGY,15
1952-01-01,ESP,34
1952-01-01,FIN,386
1952-01-01,FRA,764
1952-01-01,GBR,1024
1952-01-01,GER,553
1952-01-01,HUN,344
1952-01-01,IND,82
1952-01-01,IRI,8
